Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;;
EnEv2016;FB;EPS;Pellets;0.1;EnEv2016_FB_EPS_Pellets_0.1;659165.88;55671.18;-195844.54;28503.32;4707.87;3926.59;99.98;54.88;-28.31;0.000211983;1.57054E-07;-0.000825199;;
EnEv2016;FB;EPS;Pellets;0.05;EnEv2016_FB_EPS_Pellets_0.05;540670.37;55277.60;-166033.95;24572.75;4674.59;2141.17;91.36;54.49;-25.79;0.000203334;1.55944E-07;-0.000824607;;
EnEv2016;FB;Holz;Pellets;0.1;EnEv2016_FB_Holz_Pellets_0.1;728068.42;55671.18;-747309.95;-11487.82;4707.87;7550.15;113.12;54.88;-64.43;0.000190491;1.57054E-07;-0.0008265;;
EnEv2016;FB;Holz;Pellets;0.05;EnEv2016_FB_Holz_Pellets_0.05;582022.89;55277.60;-504090.87;27.30;4674.59;4362.47;99.35;54.49;-47.93;0.000190429;1.55944E-07;-0.000825404;;
EnEv2016;FB;HF MW;Pellets;0.1;EnEv2016_FB_HFMW_Pellets_0.1;656885.05;55671.18;-211008.00;20865.44;4707.87;9625.42;142.43;54.88;-24.21;0.000633547;1.57054E-07;-0.000867786;;
EnEv2016;FB;HF MW;Pellets;0.05;EnEv2016_FB_HFMW_Pellets_0.05;633902.91;55277.60;-211015.38;18898.03;4674.59;9624.91;133.18;54.49;-24.21;0.000633502;1.55944E-07;-0.000867786;;
EnEv2016;2WSV;EPS;Pellets;0.1;EnEv2016_2WSV_EPS_Pellets_0.1;1087760.86;53598.75;-367525.89;43146.60;4532.62;13225.10;192.01;52.84;-35.10;0.001719444;1.51208E-07;-5745.516728;;
EnEv2016;2WSV;EPS;Pellets;0.05;EnEv2016_2WSV_EPS_Pellets_0.05;1087760.86;50465.55;-367525.89;43146.60;4267.66;13225.10;192.01;49.75;-35.10;0.001719444;1.42369E-07;-5745.516728;;
EnEv2016;2WSV;Holz;Pellets;0.1;EnEv2016_2WSV_Holz_Pellets_0.1;1115365.85;53598.75;-616822.74;24947.09;4532.62;14863.17;197.71;52.84;-51.42;0.001710809;1.51208E-07;-5745.516729;;
EnEv2016;2WSV;Holz;Pellets;0.05;EnEv2016_2WSV_Holz_Pellets_0.05;1115365.85;50465.55;-616822.74;24947.09;4267.66;14863.17;197.71;49.75;-51.42;0.001710809;1.42369E-07;-5745.516729;;
EnEv2016;2WSV;HF MW;Pellets;0.1;EnEv2016_2WSV_HFMW_Pellets_0.1;1210700.04;53598.75;-424911.59;37548.51;4532.62;21451.04;230.30;52.84;-34.57;0.002153873;1.51208E-07;-5745.516772;;
EnEv2016;2WSV;HF MW;Pellets;0.05;EnEv2016_2WSV_HFMW_Pellets_0.05;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;;
EnEv2016;3WSV;EPS;Pellets;0.1;EnEv2016_3WSV_EPS_Pellets_0.1;1146554.24;50582.36;-367933.06;47688.15;4277.53;13195.18;210.67;49.87;-35.28;0.001719526;1.42698E-07;-5745.516728;;
EnEv2016;3WSV;EPS;Pellets;0.05;EnEv2016_3WSV_EPS_Pellets_0.05;1146554.24;46900.88;-367933.06;47688.15;3966.21;13195.18;210.67;46.24;-35.28;0.001719526;1.32312E-07;-5745.516728;;
EnEv2016;3WSV;Holz;Pellets;0.1;EnEv2016_3WSV_Holz_Pellets_0.1;1174159.22;50052.68;-617229.91;29488.64;4232.74;14833.26;216.38;49.34;-51.61;0.001710891;1.41204E-07;-5745.516729;;
EnEv2016;3WSV;Holz;Pellets;0.05;EnEv2016_3WSV_Holz_Pellets_0.05;1174159.22;46900.88;-617229.91;29488.64;3966.21;14833.26;216.38;46.24;-51.61;0.001710891;1.32312E-07;-5745.516729;;
EnEv2016;3WSV;HF MW;Pellets;0.1;EnEv2016_3WSV_HFMW_Pellets_0.1;1277223.20;50052.68;-425316.27;42751.78;4232.74;21421.30;252.08;49.34;-34.76;0.002153969;1.41204E-07;-5745.516772;;
EnEv2016;3WSV;HF MW;Pellets;0.05;EnEv2016_3WSV_HFMW_Pellets_0.05;1277223.20;46900.88;-425316.27;42751.78;3966.21;21421.30;252.08;46.24;-34.76;0.002153969;1.32312E-07;-5745.516772;;
EnEv2016;FB;EPS;WP;0.1;EnEv2016_FB_EPS_WP_0.1;1219085.51;304121.09;-502324.13;37731.00;23007.16;29339.91;188.64;36.53;-31.93;19.25818053;4.15773E-05;-2616.317015;;
EnEv2016;FB;EPS;WP;0.05;EnEv2016_FB_EPS_WP_0.05;1100590.00;304392.41;-472513.52;33800.43;23027.68;38175.29;180.02;36.56;-17.58;19.25817188;4.16144E-05;-874.1742739;;
EnEv2016;FB;Holz;WP;0.1;EnEv2016_FB_Holz_WP_0.1;1296271.01;304121.09;-1315498.78;-12880.31;23007.16;44165.39;198.27;36.53;-79.46;19.25814898;4.15773E-05;-2616.31877;;
EnEv2016;FB;Holz;WP;0.05;EnEv2016_FB_Holz_WP_0.05;1174472.84;304392.41;-1082826.08;720.94;23027.68;66184.09;192.10;36.56;-39.75;19.25814895;4.16144E-05;-874.1742593;;
EnEv2016;FB;HF MW;WP;0.1;EnEv2016_FB_HFMW_WP_0.1;1167727.16;304121.09;-636032.30;28698.91;23007.16;44365.06;231.01;36.53;-29.52;19.25859206;4.15773E-05;-2616.31881;;
EnEv2016;FB;HF MW;WP;0.05;EnEv2016_FB_HFMW_WP_0.05;1168992.39;304392.41;-646585.95;28817.63;23027.68;60254.57;229.34;36.56;-16.02;19.25859204;4.16144E-05;-874.1743017;;
EnEv2016;2WSV;EPS;WP;0.1;EnEv2016_2WSV_EPS_WP_0.1;1647680.49;294371.71;-674005.48;52374.28;22269.60;38638.42;280.66;35.36;-38.72;19.25968799;4.02444E-05;-8361.832918;;
EnEv2016;2WSV;EPS;WP;0.05;EnEv2016_2WSV_EPS_WP_0.05;1468193.27;276853.57;-674806.28;51224.41;20944.33;33004.66;269.81;33.25;-39.11;19.25968763;3.78495E-05;-8361.832918;;
EnEv2016;2WSV;Holz;WP;0.1;EnEv2016_2WSV_Holz_WP_0.1;1724081.16;294371.71;-1111716.21;21373.66;22269.60;41514.52;292.50;35.36;-67.39;19.25966431;4.02444E-05;-8361.832919;;
EnEv2016;2WSV;Holz;WP;0.05;EnEv2016_2WSV_Holz_WP_0.05;1796062.53;276853.57;-1111716.21;37603.96;20944.33;41514.52;318.18;33.25;-67.39;19.25966449;3.78495E-05;-8361.832919;;
EnEv2016;2WSV;HF MW;WP;0.1;EnEv2016_2WSV_HFMW_WP_0.1;1769784.65;294371.71;-776638.04;43862.75;22269.60;46226.97;331.62;35.36;-40.82;19.26010741;4.02444E-05;-8361.832961;;
EnEv2016;2WSV;HF MW;WP;0.05;EnEv2016_2WSV_HFMW_WP_0.05;1841766.02;276853.57;-776638.04;60093.05;20944.33;46226.97;357.30;33.25;-40.82;19.26010759;3.78495E-05;-8361.832961;;
EnEv2016;3WSV;EPS;WP;0.1;EnEv2016_3WSV_EPS_WP_0.1;1706473.87;274547.36;-674412.65;56915.83;20769.86;38608.50;299.33;32.98;-38.91;19.25968807;3.75342E-05;-8361.832918;;
